# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	15907	0.002431
Catharus aurantiirostris	range	0	360	15908	0.001556
Catharus aurantiirostris	range	0	360	15909	0.000085
Catharus aurantiirostris	range	0	360	15910	0.000038
Catharus aurantiirostris	range	0	360	15911	0.000023
Catharus aurantiirostris	range	0	360	15912	0.000011
Catharus aurantiirostris	range	0	360	15913	0.000024
Catharus aurantiirostris	range	0	360	15914	0.000042
Catharus aurantiirostris	range	0	360	15915	0.000055
Catharus aurantiirostris	range	0	360	15916	0.000066
Catharus aurantiirostris	range	0	360	15917	0.000066
Catharus aurantiirostris	range	0	360	15918	0.000534
Catharus aurantiirostris	range	0	360	15919	0.000534
Catharus aurantiirostris	range	0	360	15920	0.000031
Catharus aurantiirostris	range	0	360	15921	0.000016
Catharus aurantiirostris	range	0	360	15922	0.000015
Catharus aurantiirostris	range	0	360	15923	0.000016
Catharus aurantiirostris	range	0	360	15924	0.000016
Catharus aurantiirostris	range	0	360	15926	0.000267
Catharus aurantiirostris	range	0	360	15927	0.000027
Catharus aurantiirostris	range	0	360	15928	0.000016
Catharus aurantiirostris	range	0	360	15929	0.000016
Catharus aurantiirostris	range	0	360	15930	0.000079
Catharus aurantiirostris	range	0	360	16253	0.000479
Catharus aurantiirostris	range	0	360	16254	0.005101
Catharus aurantiirostris	range	0	360	16255	0.005091
Catharus aurantiirostris	range	0	360	16256	0.004827
Catharus aurantiirostris	range	0	360	16257	0.436132
Catharus aurantiirostris	range	0	360	16258	0.347890
Catharus aurantiirostris	range	0	360	16259	0.002575
Catharus aurantiirostris	range	0	360	16260	0.001808
Catharus aurantiirostris	range	0	360	16261	0.000112
Catharus aurantiirostris	range	0	360	16262	0.000047
Catharus aurantiirostris	range	0	360	16263	0.000032
Catharus aurantiirostris	range	0	360	16264	0.000027
Catharus aurantiirostris	range	0	360	16267	0.000066
Catharus aurantiirostris	range	0	360	16268	0.000088
Catharus aurantiirostris	range	0	360	16269	0.000881
Catharus aurantiirostris	range	0	360	16270	0.078098
Catharus aurantiirostris	range	0	360	16271	0.000534
Catharus aurantiirostris	range	0	360	16272	0.000313
Catharus aurantiirostris	range	0	360	16273	0.000314
Catharus aurantiirostris	range	0	360	16274	0.000192
Catharus aurantiirostris	range	0	360	16275	0.000157
Catharus aurantiirostris	range	0	360	16276	0.000027
Catharus aurantiirostris	range	0	360	16277	0.000390
Catharus aurantiirostris	range	0	360	16278	0.000039
Catharus aurantiirostris	range	0	360	16279	0.000039
Catharus aurantiirostris	range	0	360	16280	0.000267
Catharus aurantiirostris	range	0	360	16281	0.000016
Catharus aurantiirostris	range	0	360	16607	0.004430
Catharus aurantiirostris	range	0	360	16608	0.433848
Catharus aurantiirostris	range	0	360	16609	0.407165
Catharus aurantiirostris	range	0	360	16610	0.003439
Catharus aurantiirostris	range	0	360	16611	0.000270
Catharus aurantiirostris	range	0	360	16612	0.000182
Catharus aurantiirostris	range	0	360	16613	0.000115
Catharus aurantiirostris	range	0	360	16614	0.000066
Catharus aurantiirostris	range	0	360	16615	0.000039
Catharus aurantiirostris	range	0	360	16616	0.000031
Catharus aurantiirostris	range	0	360	16617	0.000042
Catharus aurantiirostris	range	0	360	16618	0.000657
Catharus aurantiirostris	range	0	360	16619	0.088120
Catharus aurantiirostris	range	0	360	16620	0.102026
Catharus aurantiirostris	range	0	360	16621	0.098143
