# taxon distribution range models
# data save on : 2023-10-04T14:59:22-03:00
taxon	type	age	equator	pixel	density
Catharus guttatus	points	0	360	5006	1.000000
Catharus guttatus	points	0	360	5007	1.000000
Catharus guttatus	points	0	360	5008	1.000000
Catharus guttatus	points	0	360	5011	1.000000
Catharus guttatus	points	0	360	5012	1.000000
Catharus guttatus	points	0	360	5015	1.000000
Catharus guttatus	points	0	360	5021	1.000000
Catharus guttatus	points	0	360	5022	1.000000
Catharus guttatus	points	0	360	5216	1.000000
Catharus guttatus	points	0	360	5217	1.000000
Catharus guttatus	points	0	360	5218	1.000000
Catharus guttatus	points	0	360	5220	1.000000
Catharus guttatus	points	0	360	5221	1.000000
Catharus guttatus	points	0	360	5222	1.000000
Catharus guttatus	points	0	360	5223	1.000000
Catharus guttatus	points	0	360	5224	1.000000
Catharus guttatus	points	0	360	5235	1.000000
Catharus guttatus	points	0	360	5236	1.000000
Catharus guttatus	points	0	360	5237	1.000000
Catharus guttatus	points	0	360	5238	1.000000
Catharus guttatus	points	0	360	5239	1.000000
Catharus guttatus	points	0	360	5242	1.000000
Catharus guttatus	points	0	360	5243	1.000000
Catharus guttatus	points	0	360	5245	1.000000
Catharus guttatus	points	0	360	5247	1.000000
Catharus guttatus	points	0	360	5249	1.000000
Catharus guttatus	points	0	360	5250	1.000000
Catharus guttatus	points	0	360	5252	1.000000
Catharus guttatus	points	0	360	5254	1.000000
Catharus guttatus	points	0	360	5255	1.000000
Catharus guttatus	points	0	360	5257	1.000000
Catharus guttatus	points	0	360	5259	1.000000
Catharus guttatus	points	0	360	5458	1.000000
Catharus guttatus	points	0	360	5459	1.000000
Catharus guttatus	points	0	360	5461	1.000000
Catharus guttatus	points	0	360	5462	1.000000
Catharus guttatus	points	0	360	5463	1.000000
Catharus guttatus	points	0	360	5464	1.000000
Catharus guttatus	points	0	360	5466	1.000000
Catharus guttatus	points	0	360	5476	1.000000
Catharus guttatus	points	0	360	5477	1.000000
Catharus guttatus	points	0	360	5478	1.000000
Catharus guttatus	points	0	360	5479	1.000000
Catharus guttatus	points	0	360	5481	1.000000
Catharus guttatus	points	0	360	5482	1.000000
Catharus guttatus	points	0	360	5483	1.000000
Catharus guttatus	points	0	360	5484	1.000000
Catharus guttatus	points	0	360	5485	1.000000
Catharus guttatus	points	0	360	5486	1.000000
Catharus guttatus	points	0	360	5491	1.000000
Catharus guttatus	points	0	360	5492	1.000000
Catharus guttatus	points	0	360	5493	1.000000
Catharus guttatus	points	0	360	5495	1.000000
Catharus guttatus	points	0	360	5496	1.000000
Catharus guttatus	points	0	360	5497	1.000000
Catharus guttatus	points	0	360	5499	1.000000
Catharus guttatus	points	0	360	5500	1.000000
Catharus guttatus	points	0	360	5505	1.000000
Catharus guttatus	points	0	360	5708	1.000000
Catharus guttatus	points	0	360	5709	1.000000
Catharus guttatus	points	0	360	5710	1.000000
Catharus guttatus	points	0	360	5711	1.000000
Catharus guttatus	points	0	360	5712	1.000000
Catharus guttatus	points	0	360	5724	1.000000
Catharus guttatus	points	0	360	5725	1.000000
Catharus guttatus	points	0	360	5726	1.000000
Catharus guttatus	points	0	360	5727	1.000000
Catharus guttatus	points	0	360	5728	1.000000
Catharus guttatus	points	0	360	5729	1.000000
Catharus guttatus	points	0	360	5730	1.000000
